,Hotel Name,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85,86,87,88,89,90,91,92,93,94,95,96,97,98,99,100,101,102,103,104,105,106,107,108,109,110,111,112,113,114,115,116,117,118,119,120,121,122,123,124,125,126,127,128,129,130,131,132,133,134,135,136,137,138,139,140,141,142,143,144,145,146,147,148,149,150,151,152,153,154,155,156,157,158,159,160
0,Newark Liberty International Airport Marriott,8.748221906116644,13.584637268847796,20.839260312944525,-1,6.330014224751067,10.526315789473683,17.78093883357041,-1,5.761024182076813,10.597439544807965,17.852062588904694,-1,2.7027027027027026,8.60597439544808,17.496443812233288,-1,5.19203413940256,10.028449502133713,17.852062588904694,-1,8.17923186344239,13.01564722617354,20.27027027027027,-1,42.67425320056899,34.13940256045519,-1,-1,5.689900426742532,11.16642958748222,18.990042674253203,-1,-1,24.039829302987197,8.17923186344239,5.761024182076813,-1,24.751066856330013,8.748221906116644,5.761024182076813,-1,25.462304409672832,11.16642958748222,7.539118065433854,-1,32.005689900426745,8.60597439544808,4.409672830725462,-1,23.470839260312946,7.610241820768136,5.19203413940256,1.0668563300142246,6.0455192034139404,11.024182076813656,-1,8.17923186344239,16.642958748221908,24.466571834992887,-1,0.0,4.978662873399715,9.95732574679943,-1,-1,14.15362731152205,18.990042674253203,26.24466571834993,41.25177809388336,32.005689900426745,-1,-1,-1,29.445234708392604,9.88620199146515,6.89900426742532,-1,-1,-1,-1,8.17923186344239,14.224751066856332,20.839260312944525,-1,41.25177809388336,33.428165007112376,-1,-1,13.655761024182079,20.910384068278805,25.746799431009958,-1,-1,31.57894736842105,17.852062588904694,10.597439544807965,36.98435277382646,32.71692745376956,-1,-1,-1,28.3072546230441,13.01564722617354,8.17923186344239,38.40682788051209,27.09815078236131,11.095305832147938,5.049786628733997,41.25177809388336,33.428165007112376,-1,-1,38.40682788051209,33.428165007112376,29.871977240398294,-1,49.075391180654336,45.519203413940254,-1,-1,37.69559032716928,29.160739687055475,-1,-1,41.96301564722618,34.13940256045519,-1,-1,14.793741109530584,18.990042674253203,25.03556187766714,-1,41.96301564722618,36.98435277382646,-1,-1,-1,27.027027027027028,-1,-1,-1,22.759601706970127,4.978662873399715,0.0,-1,12.446657183499289,17.28307254623044,25.106685633001426,-1,10.597439544807965,15.433854907539118,22.688477951635846,-1,25.675675675675674,9.317211948790897,5.689900426742532,-1,-1,-1,-1
1,Hilton Garden Inn Times Square,22.07792207792208,21.558441558441558,18.90909090909091,19.428571428571427,49.09090909090909,45.45454545454545,39.740259740259745,46.33766233766234,22.07792207792208,24.155844155844157,-1.0,19.68831168831169,12.987012987012985,19.22077922077922,15.480519480519481,15.116883116883118,38.701298701298704,42.493506493506494,38.701298701298704,39.22077922077922,-1.0,40.46753246753247,46.75324675324675,35.01298701298701,16.207792207792206,17.71428571428571,16.31168831168831,-1,23.584415584415584,27.79220779220779,29.35064935064935,23.636363636363637,22.181818181818183,25.558441558441558,18.285714285714285,21.662337662337663,38.077922077922075,39.324675324675326,29.4025974025974,40.46753246753247,-1,12.727272727272727,12.727272727272727,11.584415584415584,-1,35.116883116883116,31.584415584415588,39.324675324675326,36.77922077922078,29.35064935064935,31.636363636363633,25.922077922077925,52.935064935064936,48.675324675324674,45.14285714285714,43.064935064935064,15.272727272727273,21.454545454545453,-1.0,15.324675324675324,-1.0,14.805194805194805,13.766233766233766,9.61038961038961,30.02597402597403,29.61038961038961,30.909090909090907,-1.0,26.75324675324675,12.727272727272727,24.415584415584416,24.0,41.61038961038961,37.45454545454546,35.94805194805195,45.76623376623377,-1,18.181818181818183,0.0,3.6883116883116887,34.07792207792208,41.090909090909086,47.68831168831169,44.25974025974026,38.18181818181819,35.37662337662338,38.18181818181819,35.37662337662338,49.76623376623376,52.519480519480524,59.94805194805195,57.714285714285715,46.75324675324675,47.27272727272727,41.506493506493506,46.7012987012987,40.05194805194805,28.05194805194805,21.61038961038961,30.129870129870127,36.103896103896105,36.62337662337662,38.701298701298704,30.129870129870127,-1.0,13.03896103896104,17.09090909090909,18.38961038961039,49.76623376623376,48.77922077922078,42.44155844155844,47.16883116883117,29.35064935064935,27.79220779220779,21.558441558441558,21.038961038961038,35.116883116883116,38.701298701298704,33.506493506493506,43.94805194805195,26.233766233766232,20.0,13.03896103896104,10.493506493506494,31.012987012987015,29.4025974025974,25.19480519480519,21.818181818181817,45.14285714285714,51.688311688311686,57.35064935064935,49.714285714285715,-1.0,-1.0,-1,-1,9.090909090909092,-1.0,14.805194805194805,8.103896103896103,13.402597402597403,15.376623376623378,13.662337662337661,-1.0,43.42857142857143,43.42857142857143,43.42857142857143,-1.0,47.116883116883116,48.05194805194805,44.62337662337663,-1.0,24.415584415584416,21.454545454545453,19.532467532467532,22.96103896103896,-1,-1,-1,25.766233766233764
2,Residence Inn Newark Elizabeth Liberty International Airport,4.9486461251167135,7.65639589169001,12.511671335200747,-1,22.03548085901027,-1.0,40.61624649859944,-1,5.695611577964519,4.855275443510738,9.710550887021476,-1,23.34267040149393,27.07749766573296,31.746031746031743,-1,10.644257703081232,12.698412698412698,18.674136321195146,-1,21.66199813258637,22.22222222222222,39.21568627450981,-1,-1.0,-1.0,-1,-1,27.07749766573296,29.878618113912232,33.61344537815126,-1,-1,-1.0,9.15032679738562,5.695611577964519,-1,-1.0,23.71615312791783,21.66199813258637,-1,-1.0,7.65639589169001,4.9486461251167135,-1,-1.0,26.143790849673206,24.276377217553687,-1,-1.0,12.791783380018673,9.523809523809524,22.408963585434176,25.210084033613445,29.878618113912232,-1,1.4939309056956116,6.722689075630252,13.258636788048554,-1,-1.0,-1.0,-1.0,-1,-1,7.65639589169001,10.364145658263306,15.219421101774042,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,23.52941176470588,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1,24.276377217553687,32.6797385620915,33.61344537815126,-1,-1,-1.0,30.81232492997199,27.07749766573296,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,6.722689075630252,1.4939309056956116,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,29.878618113912232,36.41456582633053,35.48085901027078,-1,-1.0,-1.0,-1,-1,-1,-1.0,-1,-1,-1,-1.0,28.944911297852478,23.34267040149393,-1,15.032679738562091,17.92717086834734,23.902894491129786,24.276377217553687,9.15032679738562,6.162464985994398,11.017740429505135,-1,-1.0,23.249299719887954,27.07749766573296,0.0,0.0,0.0,4.481792717086835
3,Westin New York at Times Square,19.258024176740307,21.508962067528138,23.38474364318466,25.468945393914133,11.921634014172572,14.83951646519383,16.88203418090871,37.30721133805752,11.087953313880785,13.588995414756146,15.631513130471031,-1,3.8766152563568155,6.002501042100875,10.295956648603585,-1,22.342642767819925,25.177157148812007,27.05293872446853,-1,24.426844518549395,26.92788661942476,29.387244685285534,49.81242184243435,-1.0,20.633597332221758,18.591079616506878,27.42809503959983,8.045018757815757,8.628595248020009,10.754481033764069,-1,16.173405585660692,11.879949979157981,11.004585243851604,7.753230512713631,-1,26.469362234264278,22.342642767819925,20.258441017090455,-1,11.37974155898291,8.086702792830346,7.336390162567737,24.510212588578575,26.052521884118384,29.05377240516882,-1.0,28.511879949979157,24.13505627344727,22.551062942892873,19.049604001667362,-1.0,-1.0,45.64401834097541,-1,13.755731554814506,16.9237182159233,18.716131721550646,-1,0.5418924551896623,2.459358065860775,6.544393497290538,10.754481033764069,21.09212171738224,24.426844518549395,27.219674864526887,-1.0,-1.0,14.714464360150062,12.671946644435181,25.135473113797413,-1,15.423092955398083,-1.0,10.67111296373489,-1,6.210921217173823,-1,4.585243851604835,30.846185910796166,29.512296790329305,31.971654856190078,42.851187994997915,-1.0,26.052521884118384,22.09253855773239,31.55481450604419,-1.0,55.356398499374734,39.51646519383076,48.35348061692372,19.00791996665277,19.75823259691538,23.759899958315962,-1.0,-1.0,27.38641100458524,25.343893288870362,-1,-1,-1.0,-1.0,-1.0,-1.0,16.548561900792,11.754897874114215,12.296790329303876,-1.0,31.80491871613172,28.720300125052105,-1,-1.0,14.797832430179241,12.922050854522718,14.797832430179241,-1.0,23.2180075031263,15.67319716548562,17.63234681117132,-1.0,14.797832430179241,13.255523134639432,10.837849103793246,-1.0,37.97415589829096,-1,44.893705710712794,40.60025010421009,44.518549395581495,47.81158816173405,-1,31.471446436015004,26.052521884118384,34.431012922050854,-1,0.0,7.503126302626094,5.168820341809087,4.0016673614005835,-1,-1.0,-1.0,-1.0,-1,36.2234264276782,38.140892038349314,-1.0,-1,28.178407669862445,33.8474364318466,-1.0,-1,8.962067528136723,-1.0,7.9616506877865785,1.5006252605252188,4.0850354314297626,4.626927886619424,4.25177157148812
4,Loews Regency New York Hotel,17.47946611909651,17.47946611909651,18.506160164271044,18.506160164271044,43.634496919917865,36.4476386036961,38.24435318275154,44.917864476386036,15.400410677618071,21.586242299794662,18.506160164271044,23.639630390143736,3.0800821355236137,2.0533880903490758,3.0800821355236137,-1,38.50102669404517,22.6129363449692,21.586242299794662,22.6129363449692,26.437371663244353,27.849075975359344,28.74743326488706,33.110882956878854,15.426078028747433,18.506160164271044,30.800821355236142,17.47946611909651,3.0800821355236137,6.4168377823408616,3.0800821355236137,-1,26.95071868583162,26.95071868583162,23.100616016427107,25.667351129363446,32.340862422997944,36.4476386036961,32.21252566735113,35.67761806981519,32.08418891170432,10.266940451745379,10.266940451745379,10.266940451745379,33.36755646817248,38.50102669404517,41.067761806981515,38.50102669404517,38.50102669404517,17.47946611909651,16.45277207392197,25.667351129363446,38.50102669404517,41.067761806981515,43.634496919917865,46.201232032854215,30.800821355236142,-1.0,-1.0,-1,1.0266940451745379,2.0533880903490758,3.0800821355236137,-1,38.50102669404517,20.533880903490758,18.506160164271044,30.800821355236142,20.533880903490758,10.266940451745379,10.266940451745379,25.667351129363446,32.340862422997944,41.067761806981515,44.917864476386036,43.634496919917865,3.8501026694045177,7.212525667351128,8.239219712525667,9.265913757700206,-1.0,51.33470225872689,59.034907597535934,-1,16.45277207392197,17.47946611909651,22.6129363449692,23.639630390143736,-1.0,41.067761806981515,43.634496919917865,48.76796714579055,-1,44.917864476386036,-1.0,-1.0,-1.0,-1.0,29.517453798767967,-1,38.50102669404517,41.067761806981515,-1.0,-1.0,-1.0,-1.0,21.04722792607803,24.64065708418891,41.067761806981515,43.634496919917865,41.067761806981515,59.034907597535934,47.48459958932238,46.201232032854215,44.917864476386036,48.76796714579055,39.78439425051335,37.217659137577,37.217659137577,33.36755646817248,-1.0,-1.0,21.04722792607803,32.340862422997944,-1.0,-1.0,-1,-1,36.96098562628337,36.4476386036961,38.24435318275154,-1,28.234086242299796,30.800821355236142,28.234086242299796,-1,2.0533880903490758,3.0800821355236137,2.0533880903490758,1.0266940451745379,1.0266940451745379,2.0533880903490758,-1.0,-1.0,43.634496919917865,41.067761806981515,26.71971252566735,27.74640657084189,27.74640657084189,21.586242299794662,18.506160164271044,28.77310061601643,0.0,0.0,-1.0,-1.0,14.117043121149898,11.319301848049282,11.550308008213554,13.372689938398358
5,Viceroy New York,-1.0,14.673514306676449,17.608217168011738,28.393250183418928,35.9501100513573,33.01540719002201,37.41746148202495,27.842993396918565,22.377109317681583,24.21129860601614,26.192223037417463,24.21129860601614,4.402054292002934,6.052824651504035,7.703595011005136,8.694057226705796,29.713866471019813,33.01540719002201,36.31694790902421,35.656639765223765,31.548055759354366,29.713866471019813,32.6485693323551,36.68378576669112,34.48275862068966,26.192223037417463,23.25752017608217,-1,9.904622157006603,11.73881144534116,21.27659574468085,14.673514306676449,18.708730741012474,17.608217168011738,16.507703595011005,18.708730741012474,26.082171680117387,33.52898019075569,30.190755685986794,43.17681584739545,-1,-1.0,20.542920029347027,23.47762289068232,32.795304475421865,43.03008070432869,40.719002201027145,48.97285399853265,30.48422597212032,26.0454878943507,17.608217168011738,18.34189288334556,-1.0,-1.0,-1.0,-1,15.517241379310345,19.66250917094644,22.377109317681583,18.598679383712398,0.0,2.93470286133529,5.86940572267058,7.373440939104915,-1,-1.0,26.48569332355099,24.7982391782832,25.678650036683788,21.900220102714602,19.66250917094644,25.311812179016872,31.364636830520908,43.06676449009538,35.730007336757154,40.09537784299339,2.201027146001467,2.201027146001467,9.757887013939838,0.7336757153338225,41.819515774027884,33.785766691122525,38.701393983859134,38.774761555392516,36.68378576669112,23.110785033015407,24.944974321349964,34.00586940572267,46.33162142333089,35.766691122523845,50.95377842993397,47.652237710931765,25.862068965517242,38.51797505502568,32.795304475421865,46.99192956713133,42.18635363169479,28.980190755685985,-1,-1,27.953044754218638,31.804842259721205,15.297138664710197,-1.0,11.995597945707997,10.271460014673513,8.51063829787234,13.939838591342626,-1.0,17.93837123991196,32.13499633162142,-1,40.352164343360236,33.01540719002201,37.41746148202495,37.41746148202495,47.652237710931765,30.48422597212032,41.709464416727805,41.08584005869405,-1.0,15.774027879677183,24.21129860601614,-1,55.02567865003668,22.56052824651504,35.17975055025679,52.0909757887014,-1.0,45.12105649303008,49.52311078503301,47.32208363903155,33.12545854732208,31.511371973587675,-1,-1,-1,-1.0,-1,6.969919295671313,3.4115920763022745,4.071900220102714,-1.0,-1.0,42.18635363169479,41.709464416727805,40.02201027146001,43.17681584739545,39.251650770359504,37.41746148202495,28.870139398385913,39.98532648569332,8.804108584005869,-1.0,-1.0,-1.0,13.939838591342626,11.005135730007337,12.472487160674982,12.472487160674982
6,Four Seasons Hotel New York,-1.0,-1.0,30.657748049052397,32.32998885172798,-1.0,21.460423634336678,22.85395763656633,24.24749163879599,27.313266443701227,25.64102564102564,30.657748049052397,24.24749163879599,0.7664437012263099,3.0657748049052396,-1.0,-1,27.313266443701227,24.804905239687848,22.85395763656633,24.24749163879599,28.288740245261984,38.87959866220736,27.870680044593087,30.93645484949833,32.32998885172798,25.64102564102564,32.05128205128205,-1,0.7664437012263099,3.0657748049052396,-1.0,-1,25.64102564102564,25.64102564102564,22.85395763656633,28.428093645484946,-1,-1.0,27.870680044593087,-1.0,-1,-1.0,30.657748049052397,-1.0,-1,-1.0,30.100334448160538,27.313266443701227,20.066889632107024,21.460423634336678,22.85395763656633,25.64102564102564,30.100334448160538,30.379041248606462,32.74804905239688,35.81382385730212,-1.0,-1.0,-1.0,-1,-1.0,3.0657748049052396,-1.0,-1,-1,-1.0,-1.0,32.32998885172798,25.64102564102564,25.64102564102564,27.034559643255296,28.70680044593088,20.066889632107024,21.460423634336678,22.85395763656633,-1.0,24.24749163879599,18.67335562987737,18.67335562987737,18.67335562987737,-1.0,-1.0,-1.0,-1,24.24749163879599,22.85395763656633,21.460423634336678,20.066889632107024,32.608695652173914,32.608695652173914,36.78929765886287,35.39576365663322,25.64102564102564,25.64102564102564,25.64102564102564,27.313266443701227,27.034559643255296,27.870680044593087,24.804905239687848,-1,-1,45.1505016722408,27.870680044593087,33.02675585284281,18.67335562987737,18.67335562987737,18.67335562987737,20.066889632107024,32.32998885172798,28.846153846153843,30.379041248606462,41.80602006688963,-1.0,-1.0,-1.0,-1,18.67335562987737,18.67335562987737,22.85395763656633,20.76365663322185,18.67335562987737,22.85395763656633,21.460423634336678,22.435897435897438,30.93645484949833,21.460423634336678,36.78929765886287,57.692307692307686,-1.0,-1.0,30.657748049052397,30.93645484949833,25.64102564102564,30.657748049052397,28.985507246376812,-1,-1,-1.0,-1,-1,0.0,1.5328874024526198,-1.0,-1.0,33.02675585284281,29.124860646599775,30.657748049052397,30.93645484949833,25.64102564102564,25.64102564102564,27.731326644370125,32.32998885172798,-1,-1.0,-1.0,-1.0,17.488851727982162,18.297101449275363,17.238015607580827,17.488851727982162
7,Langham Place New York Fifth Avenue,26.614651061985263,25.856090160381445,28.890333766796704,31.924577373211964,37.68964022540096,37.6246207195492,42.82618118768964,46.337234503684435,34.20026007802341,36.259211096662334,41.41742522756827,45.99046380580841,7.780667533593412,8.625921109666233,8.192457737321195,9.492847854356306,28.13177286519289,28.890333766796704,31.924577373211964,-1,31.27438231469441,24.208929345470306,32.791504117902036,35.587342869527525,-1.0,-1.0,-1,-1,29.908972691807545,24.44733420026008,31.014304291287388,7.802340702210664,26.246207195491984,-1.0,-1.0,-1.0,25.075856090160382,31.16601647160815,29.648894668400523,-1.0,-1,26.137841352405722,26.918075422626785,-1.0,-1,51.40875596012137,-1.0,-1.0,17.858690940615517,-1.0,36.4976159514521,-1.0,52.145643693107935,55.3099263112267,50.32509752925878,-1,25.8777633289987,32.01127004768097,34.373645426961424,38.079757260511485,5.635023840485479,8.365843086259211,9.666233203294322,14.651061985262245,37.6246207195492,28.13177286519289,30.407455570004334,33.44169917641959,-1.0,-1.0,-1,37.92804508019073,33.78846987429562,38.10143042912874,-1.0,37.68964022540096,-1,-1,-1,-1,32.63979193758127,29.843953185955783,29.843953185955783,35.457303857824016,-1.0,34.6553966189857,-1,-1,53.294321629822285,47.962722149978326,59.254442999566535,60.359774599046375,38.33983528391851,54.31296055483311,46.640658864325964,-1.0,-1.0,-1.0,35.69570871261378,35.93411356740355,39.25010836584308,38.33983528391851,-1.0,63.24230602514087,18.270481144343304,-1.0,-1.0,-1.0,-1.0,46.640658864325964,-1,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1,20.93628088426528,-1.0,-1,24.68573905504985,38.33983528391851,-1.0,-1,-1,41.02730819245774,40.875596012136974,49.111400086692676,60.359774599046375,-1.0,-1.0,-1,-1,-1,-1.0,-1,10.273081924577374,0.6501950585175552,4.551365409622886,5.201560468140442,-1.0,43.69310793237972,29.648894668400523,39.27178153446034,34.20026007802341,46.12050281751192,33.5283918508886,40.65886432596446,46.337234503684435,0.0,24.44733420026008,1.950585175552666,-1.0,25.097529258777634,25.097529258777634,28.890333766796704,-1
8,The Carlyle A Rosewood Hotel,3.865315237931627,6.184504380690603,8.503693523449579,10.822882666208555,-1.0,12.369008761381206,13.915134856553857,15.461260951726508,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,25.76876825287751,28.861020443222813,30.922521903453017,-1,-1.0,-1.0,-1.0,47.41453358529462,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,10.04981961862223,10.822882666208555,11.595945713794881,-1.0,13.915134856553857,15.461260951726508,15.461260951726508,13.915134856553857,-1,-1.0,-1.0,-1.0,-1.0,35.04552482391342,35.04552482391342,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,6.184504380690603,8.503693523449579,10.822882666208555,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1,18.553513142071807,17.780450094485484,20.09963923724446,22.418828380003436,13.915134856553857,14.688197904140182,15.461260951726508,-1.0,-1.0,-1.0,-1,-1,-1,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,-1.0,13.14207180896753,13.14207180896753,13.915134856553857,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1,-1,-1.0,-1.0,-1.0,-1,-1.0,39.16852774437382,-1,-1,18.553513142071807,25.76876825287751,-1,3.865315237931627,17.52276241195671,18.553513142071807,-1.0,0.0,15.461260951726508,15.461260951726508,18.553513142071807,18.553513142071807,-1,-1.0,-1.0,-1.0,-1,-1.0,-1.0,-1.0,-1,-1,-1,-1
9,DoubleTree by Hilton Metropolitan - New York City,10.420841683366733,15.581162324649297,13.927855711422845,21.24248496993988,36.87374749498998,34.86973947895792,48.897795591182366,31.362725450901802,-1.0,13.72745490981964,17.43486973947896,17.635270541082164,6.813627254509018,-1.0,-1.0,-1,42.88577154308617,-1.0,41.883767535070135,37.87575150300601,42.38476953907816,-1.0,-1.0,40.3807615230461,22.74549098196393,10.370741482965933,13.72745490981964,-1,3.406813627254509,4.809619238476954,15.33066132264529,13.827655310621243,-1,17.43486973947896,8.867735470941884,8.216432865731463,34.569138276553105,-1.0,32.364729458917836,33.366733466933866,7.915831663326653,7.214428857715431,7.064128256513026,6.4128256513026045,-1,29.859719438877757,-1.0,-1.0,-1,-1.0,26.853707414829657,-1.0,38.37675350701403,44.88977955911824,46.893787575150306,45.89178356713427,7.264529058116233,28.45691382765531,-1.0,9.819639278557114,11.322645290581162,-1.0,-1.0,-1,-1,18.236472945891784,-1.0,-1.0,28.35671342685371,10.32064128256513,17.835671342685373,13.577154308617235,25.851703406813627,17.334669338677354,17.334669338677354,-1.0,14.979959919839681,14.979959919839681,12.775551102204407,5.911823647294589,32.06412825651302,33.86773547094188,56.4128256513026,34.86973947895792,-1.0,30.160320641282567,37.37474949899799,-1,60.42084168336673,51.40280561122245,62.4248496993988,64.42885771543087,-1,38.37675350701403,-1.0,-1.0,44.188376753507015,39.37875751503006,24.899799599198396,22.995991983967937,30.861723446893784,31.062124248496993,31.362725450901802,31.863727454909817,-1.0,8.46693386773547,-1.0,-1.0,54.408817635270545,49.39879759519038,39.12825651302605,35.721442885771545,48.39679358717434,41.883767535070135,26.352705410821642,-1,41.38276553106213,37.87575150300601,28.857715430861724,-1,10.97194388777555,17.73547094188377,15.230460921843688,8.767535070140282,33.366733466933866,31.362725450901802,30.861723446893784,40.88176352705411,56.4128256513026,63.426853707414836,56.4128256513026,47.394789579158314,14.228456913827655,17.43486973947896,30.460921843687377,30.26052104208417,-1,3.807615230460922,-1,-1,-1,6.312625250501001,11.322645290581162,-1.0,-1,-1.0,46.392785571142284,43.33667334669339,-1,43.38677354709419,21.64328657314629,-1.0,-1,-1.0,0.0,3.807615230460922,-1,-1,11.573146292585172,-1
